track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,duration_min,group
5SDcksP8En1l6RtTY1wzHc,Hillsong UNITED;TAYA,Zion,Oceans (Where Feet May Fail),71,536000,False,0.264,0.363,2,-10.196,1,0.0338,0.501,0.00406,0.11,0.0613,124.328,4,alternative,8.9333,long
1rGnpPG0QHfqjDgM8cIf4A,ARTBAT;WhoMadeWho,Montserrat / Closer,Closer,54,460800,False,0.731,0.592,10,-9.577,0,0.0639,0.00527,0.52,0.075,0.19,125.005,4,electronic,7.68,long
4G9WGAZzGHEVasdllxqjFv,Rhythim Is Rhythim;Derrick May;Mayday,Innovator - Soundtrack For The Tenth Planet,Sinister,8,397800,False,0.792,0.924,11,-10.171,0,0.0687,0.000318,0.935,0.0503,0.78,132.594,4,detroit-techno,6.63,long
54CEXt5kP0lFQTaRXYHXYw,Seiko Matsuda,Pineapple,SUNSET BEACH,27,313880,False,0.556,0.355,3,-9.353,1,0.0255,0.785,1.19e-05,0.15,0.18,86.806,4,j-idol,5.2313,long
0pYmuht36fZzdpHMhEB2Al,Romanthony;Roman,What $ Love (2014 Remixes),What $ Love - Roman's Remix,5,334617,False,0.823,0.708,1,-7.411,1,0.273,0.0371,5.16e-06,0.0638,0.478,120.538,4,chicago-house,5.577,long
0P09TBGSKiQwfUsEh1UafT,Leslie Odom Jr.;Lin-Manuel Miranda;Original Broadway Cast of Hamilton,Hamilton (Original Broadway Cast Recording),The World Was Wide Enough,60,302191,False,0.653,0.351,5,-12.776,1,0.648,0.467,0.0,0.107,0.307,116.6,3,show-tunes,5.0365,long
5Se9PXWc57LRT0zthjI5cG,Sukhwinder Singh;Ayesha Darbar;S. P. Sailaja,Kisna (Original Motion Picture Soundtrack),Woh Kisna Hai,58,357186,False,0.649,0.525,10,-11.94,1,0.0665,0.245,1.2e-05,0.17,0.494,101.987,4,pop-film,5.9531,long
77h6gYMMshNMimIt2KTHjU,Aaron Smith;Malik Hart,House Party,House Party,21,393413,False,0.76,0.772,1,-4.872,1,0.0935,0.0294,0.0124,0.361,0.674,121.996,4,chicago-house,6.5569,long
7i3eGUaXwZufKiiLge74R1,Camisa de Vênus,Viva (Ao Vivo),Silvia - Ao Vivo,38,317853,False,0.566,0.813,9,-13.93,1,0.054,0.0761,0.000475,0.875,0.413,114.13,4,punk,5.2976,long
3QuVj43fZm4HCOqkxvXFDf,OSAMU SATO,LSD REVAMPED,Long Tall Eyelash 2018,13,341893,False,0.568,0.913,7,-8.57,1,0.0439,0.0179,0.715,0.104,0.676,159.985,4,idm,5.6982,long
7n57gzUf3DTutmdth8UwdV,Ajja,Tulpa,Bebopper,35,457432,False,0.629,0.89,6,-7.82,0,0.0564,0.000206,0.783,0.73,0.463,144.003,4,trance,7.6239,long
4KPOnAujsjHJA8rKW658kX,Extrawelt,Viaggi Astrali 2,Wasteland,0,301002,False,0.793,0.853,2,-10.105,1,0.0562,0.0155,0.895,0.109,0.0372,128.009,4,techno,5.0167,long
41cQE0wfKFnNV9dteynr92,Los Prisioneros,Modo trabajación,Estrechez De Corazón,0,383573,False,0.66,0.742,11,-8.08,1,0.034,0.00151,4.04e-06,0.15,0.46,130.271,4,alt-rock,6.3929,long
3tB9hk5uxd7P1vZjpjzmLX,Tan Bionica,Destinologia,Música,47,325240,False,0.592,0.882,7,-4.378,1,0.0283,0.0175,0.00037,0.24,0.535,119.959,4,alt-rock,5.4207,long
7u5YamTXLPnqTTw3KGcJNq,Pher,Girih: Iranian Sound Artists,In Evil Hour,0,332676,False,0.165,0.105,2,-20.436,0,0.0349,0.715,0.866,0.0594,0.0323,111.413,1,iranian,5.5446,long
3ncTFUqQYkj3lv8wbcqN12,Trazendo a Arca,Pra Tocar no Manto (Ao Vivo),Caminho de Milagres - Ao Vivo,26,376217,False,0.532,0.517,9,-7.062,1,0.0262,0.177,0.0,0.389,0.21,133.946,4,groove,6.2703,long
1JOsaxmutt1iiUEHtgY02C,Dzem,Najemnik,Tylko ja i ty - 2003 Remaster,33,332786,False,0.457,0.23,2,-13.23,0,0.0353,0.152,0.00159,0.0838,0.0705,136.137,4,blues,5.5464,long
6G0SscWHDmLr05nByFmhwf,Indila,Mini World (Deluxe),Love Story,45,316280,False,0.611,0.255,10,-12.291,0,0.0339,0.815,0.0,0.083,0.341,95.981,3,french,5.2713,long
6YED5fQzVCXl7vTjN71DEM,Crazy P,The Wicked Is Music,You Are We,27,409746,False,0.766,0.394,7,-11.573,0,0.0532,0.00854,0.419,0.072,0.788,123.983,4,deep-house,6.8291,long
5TdfMjV97dTvKtyQ6iSmMU,Lidell Townsell,Nu Nu (2011 Remixes),Nu Nu - Todd Terry Club Mix,15,459133,False,0.757,0.911,1,-7.439,0,0.0447,0.000328,0.332,0.105,0.744,126.0,4,chicago-house,7.6522,long
1gJSKsHw93SR6L8zo1nHv6,Shreya Jayadeep,Oppam (Original Motion Picture Soundtrack),Minungum Minnaminuge - Female Version,20,314773,False,0.597,0.284,5,-10.78,0,0.03,0.752,0.00067,0.0905,0.51,132.631,3,malay,5.2462,long
03DgLHhA7HCUB8aBTNqOwX,Bersuit Vergarabat,Triste Hora,Sencillamente,3,307306,False,0.742,0.613,6,-7.3,0,0.027,0.329,0.000899,0.115,0.966,136.009,4,alt-rock,5.1218,long
5D5nAYobT1ObbVIPQIJblO,Priya Sisters,Sri Venkatesa Suprabatham,Sri Venkatesa Suprabhatam - Language: Tamil,36,1234386,False,0.567,0.29,8,-8.571,1,0.0788,0.807,0.0,0.0527,0.808,101.045,1,classical,20.5731,long
5lETDIvyWLJvR3YwohnwOZ,The Kovenant,Animatronik,Mannequin,19,300653,False,0.525,0.93,7,-4.414,0,0.0387,0.000139,0.0338,0.11,0.229,120.142,4,black-metal,5.0109,long
6AkUaYmKQMW7EhzqPqYB5n,Meshuggah,Immutable,Broken Cog,53,335146,True,0.376,0.877,10,-8.976,0,0.0419,4.03e-06,0.932,0.108,0.614,174.031,3,groove,5.5858,long
1U1DAlctm9lKbTYUSczTgU,Yiruma,Klassische Weihnachtsmusik,Maybe Christmas - Orchestra Version,0,303297,False,0.105,0.154,1,-14.355,1,0.0334,0.946,0.895,0.0683,0.0756,71.0,4,new-age,5.055,long
3n4xOoTgs35OjmOnCDj1VX,The Budos Band,Burnt Offering,Magus Mountain,27,319026,False,0.486,0.803,7,-6.157,1,0.0363,7.89e-05,0.854,0.222,0.253,105.904,4,afrobeat,5.3171,long
56Ntm7t5pnPlusR7tsSt5t,Furkan Sert;Ashal S,Remixes Amsterdam Dance2022,Turkey Remixes - Ashal S Eastern Assassin Remix,0,546895,False,0.746,0.951,4,-5.921,0,0.0417,5.19e-05,0.867,0.0756,0.137,122.009,4,deep-house,9.1149,long
2HuJOBhLO7nm4DMqdjtqir,Model 500,Classics,No Ufo's - Remix,12,420200,False,0.665,0.919,10,-12.152,0,0.0472,0.0333,0.841,0.197,0.764,124.828,4,detroit-techno,7.0033,long
2tQ7as9MwTqtLzsl4eudGY,Mark Farina;Homero Espinosa,Om Records - 25 Years,The Story,8,518977,False,0.757,0.722,8,-10.338,1,0.059,0.252,0.576,0.101,0.524,98.988,4,chicago-house,8.6496,long
3X7IIXtTNsqYST7QPm1lM2,Nature Sounds Nature Music,Tropical Storm for Deep Sleep - Thunderstorm Sounds and Rain Sound Sounds of Nature White Noise for Mindfulness Meditation Relaxation and Sleep Tropical Thunder Storm,Thunderstorm with Rolling Thunder for Meditation,39,796028,False,0.0832,0.918,5,-27.992,1,0.0662,0.262,0.971,0.854,1e-05,79.572,3,sleep,13.2671,long
3A4FRzgve9BjfKbvVXRIFO,RADWIMPS,Your Name.,Sparkle - movie ver.,66,537653,False,0.372,0.426,11,-8.421,1,0.0339,0.687,0.00784,0.109,0.287,123.993,4,j-pop,8.9609,long
6XKbK7rKKn10TGugBV2VcS,Yasume,Where We're From The Birds Sing A Pretty Song,When Audrey Dances,8,315653,False,0.606,0.574,8,-12.648,0,0.0454,0.158,0.87,0.625,0.544,148.032,4,idm,5.2609,long
1F800CgFr4GsCYs3YkTWV1,Nima A.M.,Mirage,Mirage,0,400000,False,0.563,0.73,1,-8.72,0,0.034,0.0102,0.901,0.151,0.301,110.01,4,iranian,6.6667,long
6rxmVLXeBMbAWOzx6bq51q,Moonbootica,Shine,Shine - Original Mix,18,312440,False,0.732,0.825,9,-6.061,0,0.0594,0.00387,0.824,0.097,0.331,121.009,4,minimal-techno,5.2073,long
2Dox1FXhSpLiHew6xvNkxK,Shiritsu Ebisu Chugaku,「中卒」〜エビ中のイケイケベスト〜,まっすぐ,23,327106,False,0.528,0.918,2,-2.288,1,0.0395,0.00265,6.94e-05,0.358,0.589,128.041,4,j-idol,5.4518,long
3KnURrjsXA0TDce8N7iOwz,Kenshi Yonezu;Masaki Suda,BOOTLEG,灰色と青 ( + 菅田将暉 ),62,332186,False,0.522,0.597,4,-4.883,1,0.0295,0.345,0.0,0.103,0.387,80.952,4,j-pop,5.5364,long
5ABDsQEkVZ1ECGPGQl6Yfr,NERO,Welcome Reality,Innocence,45,308173,False,0.373,0.734,7,-5.707,0,0.0658,0.00128,0.356,0.0868,0.0678,137.233,4,drum-and-bass,5.1362,long
0loZn1c5heXie7OAtvK6nH,Jubin Nautiyal;Rocky - Shiv,Humnava Mere,Humnava Mere,72,328992,False,0.401,0.553,5,-8.263,0,0.0337,0.47,2.96e-06,0.124,0.364,79.144,4,pop-film,5.4832,long
4Zsc1z2p4T9umEQhMv6OYF,GMS;Ajja;Pixel,Gms and Amigos II,What Makes a Man,36,468000,False,0.62,0.905,7,-7.036,1,0.0463,0.00103,0.763,0.104,0.114,144.985,4,trance,7.8,long
6qr0PaTKHYx91UPfMTQxdM,Boris Brejcha,Up Down Jumper,Keep Rollin,46,480000,False,0.74,0.876,8,-8.691,1,0.0563,0.00154,0.868,0.0993,0.173,124.995,4,techno,8.0,long
2op382Kdc0G9NKeVyzm7Vh,Donnie Ray,Best of Donnie Ray,Letter to My Baby - Part 2,35,322253,False,0.785,0.574,6,-8.497,0,0.0276,0.129,0.000757,0.116,0.787,99.973,4,blues,5.3709,long
0yYgUPbdBnA4TmYOiD1lLc,Isaias Saad,Isaias Saad,Eu Também (100 Bilhões X),47,423306,False,0.432,0.383,9,-8.829,1,0.0302,0.276,0.00137,0.0867,0.0748,128.056,4,gospel,7.0551,long
35nqVrLeL0W9QskPrW0gei,Ochre,A Midsummer Nice Dream,Revolver,12,384000,False,0.471,0.754,10,-9.226,0,0.154,0.284,0.83,0.0751,0.21,113.032,4,idm,6.4,long
7DdYDHW8wX2EVrAI348nFj,NG Rezonance;S5,Hard Trance Workout,Reflection - Mix Edit,29,325714,False,0.455,0.934,11,-7.826,0,0.0516,0.00311,0.939,0.109,0.0393,139.996,4,trance,5.4286,long
7qURBJLy7dtLLSv71a8XOg,Spuntic,Hybrid Source,Manifold,0,375562,False,0.263,0.736,2,-15.206,0,0.06,0.459,0.934,0.0945,0.051,137.834,4,iranian,6.2594,long
1Zd1Y1UeG8PB5fDSgKQaH6,Omar S,One of a Kind,Less Pain,6,420536,False,0.817,0.843,11,-6.223,0,0.048,0.012,0.939,0.113,0.356,122.998,4,detroit-techno,7.0089,long
4gJnTYsZz11QkAoFWwRCul,Aria,Штиль,Потерянный Рай,39,335440,False,0.209,0.631,9,-6.503,0,0.038,0.242,2.11e-05,0.173,0.223,74.513,4,heavy-metal,5.5907,long
3Et4LKZLnXygPYfNdeB3D3,Andrew Belle,Dive Deep,When the End Comes,57,354400,False,0.541,0.575,9,-9.463,1,0.0491,0.677,0.215,0.102,0.428,91.98,4,acoustic,5.9067,long
18QDw3hCsKrkPDyTme2kEJ,Aril Brikha,Forever Frost,Tundra - Original Mix,5,406000,False,0.749,0.862,5,-11.073,0,0.0476,0.0206,0.912,0.0312,0.896,125.995,4,detroit-techno,6.7667,long
7iPlYsBxklzdQe4iVQx7DK,Kid Abelha,Acústico (Live),Te Amo Pra Sempre - Ao Vivo,42,468560,False,0.444,7.06e-05,5,-7.41,0,0.383,0.288,0.000131,0.376,0.288,138.113,4,r-n-b,7.8093,long
